date,HSCEI,HSI
1月 2006,13.8,16.14
2月 2006,14.18,16.29
3月 2006,14.23,12.72
4月 2006,14.09,13.38
5月 2006,13.8,12.77
6月 2006,14.02,13.1
7月 2006,14.11,13.67
8月 2006,14.22,14.11
9月 2006,14.48,13.91
10月 2006,15.35,14.62
11月 2006,17.55,15.12
12月 2006,21.35,15.83
1月 2007,19.86,15.95
2月 2007,19.2,15.57
3月 2007,18.66,15.04
4月 2007,18.52,15.36
5月 2007,19.81,15.6
6月 2007,22.14,16.57
7月 2007,24.66,17.65
8月 2007,26.46,18.12
9月 2007,31.47,21.18
10月 2007,36.17,24.26
11月 2007,31.81,22.15
12月 2007,29.88,21.07
1月 2008,23.14,17.76
2月 2008,25.83,18.34
3月 2008,18.15,14.03
4月 2008,18.8,15.5
5月 2008,18.19,14.76
6月 2008,15.76,13.43
7月 2008,16.55,13.81
8月 2008,15.44,12.77
9月 2008,12.07,10.72
10月 2008,9.59,8.27
11月 2008,9.59,8.22
12月 2008,10.5,8.52
1月 2009,9.46,7.8
2月 2009,9.16,7.61
3月 2009,11.55,11.24
4月 2009,14.23,12.94
5月 2009,16.33,15.15
6月 2009,17.17,15.25
7月 2009,18.98,17.07
8月 2009,17.66,16.7
9月 2009,18.43,18.42
10月 2009,19.84,19.46
11月 2009,20.17,19.52
12月 2009,19.88,19.57
1月 2010,17.87,18
2月 2010,17.94,18.39
3月 2010,17.08,16.65
4月 2010,15.89,16.59
5月 2010,15,15.53
6月 2010,15.23,15.93
7月 2010,15.82,16.18
8月 2010,15.15,15.8
9月 2010,16.52,16.77
10月 2010,17.54,17.04
11月 2010,17.01,16.94
12月 2010,16.9,17.06
1月 2011,16.73,17.37
2月 2011,16.65,17.15
3月 2011,12.94,12.58
4月 2011,12.65,12.68
5月 2011,12.71,12.66
6月 2011,12.08,12.17
7月 2011,11.89,12.19
8月 2011,10.51,11.37
9月 2011,8.57,9.61
10月 2011,10.11,10.82
11月 2011,9.14,9.8
12月 2011,9.56,10.16
1月 2012,10.88,11.25
2月 2012,11.38,11.62
3月 2012,9.37,10.51
4月 2012,9.37,9.98
5月 2012,8.19,8.81
6月 2012,8.12,9.3
7月 2012,8.21,9.47
8月 2012,7.87,9.33
9月 2012,8.19,9.95
10月 2012,8.81,10.33
11月 2012,8.85,10.52
12月 2012,9.58,10.86
1月 2013,10.17,11.38
2月 2013,9.59,10.88
3月 2013,9.09,10.8
4月 2013,9.01,11.01
5月 2013,8.76,10.83
6月 2013,7.7,10.11
7月 2013,7.98,10.64
8月 2013,8.1,10.55
9月 2013,8.49,11.19
10月 2013,8.75,11.35
11月 2013,9.42,11.69
12月 2013,8.84,11.43
1月 2014,8.02,10.81
2月 2014,8.09,10.98
3月 2014,7.5,10.34
4月 2014,7.28,10.33
5月 2014,7.63,10.76
6月 2014,7.78,10.78
7月 2014,8.4,11.51
8月 2014,8.28,11.53
9月 2014,7.63,10.8
10月 2014,7.96,11.3
11月 2014,8.25,11.29
12月 2014,8.93,11.01
1月 2015,8.83,11.42
2月 2015,9.18,10.8
3月 2015,8.86,10.61
4月 2015,10.36,11.99
5月 2015,10.12,11.53
6月 2015,9.4,10.83
7月 2015,8.12,10.15
8月 2015,7.1,8.94
9月 2015,6.85,8.51
10月 2015,7.57,9.26
11月 2015,7.13,9.01
12月 2015,7.07,8.85
1月 2016,6.03,8.01
2月 2016,5.8,7.9
3月 2016,7.09,10.15
4月 2016,7.05,10.3
5月 2016,6.87,10.28
6月 2016,6.87,10.32
7月 2016,7.06,10.86
8月 2016,7.52,11.42
9月 2016,7.61,11.57
10月 2016,7.59,11.39
11月 2016,7.82,11.32
